Power(W), TimePDU(S), TimeNODE(mS)
273, 1557874065, 1557874065095
273, 1557874065, 1557874065173
273, 1557874065, 1557874065251
273, 1557874065, 1557874065327
273, 1557874065, 1557874065404
273, 1557874065, 1557874065482
273, 1557874065, 1557874065560
273, 1557874065, 1557874065636
273, 1557874065, 1557874065908
273, 1557874065, 1557874065982
273, 1557874065, 1557874066056
363, 1557874065, 1557874066134
363, 1557874066, 1557874066211
363, 1557874066, 1557874066289
363, 1557874066, 1557874066366
363, 1557874066, 1557874066444
363, 1557874066, 1557874066522
363, 1557874066, 1557874066600
363, 1557874066, 1557874066676
363, 1557874066, 1557874066753
363, 1557874066, 1557874066831
363, 1557874066, 1557874066907
363, 1557874066, 1557874066985
363, 1557874066, 1557874067062
377, 1557874066, 1557874067140
377, 1557874067, 1557874067217
377, 1557874067, 1557874067294
377, 1557874067, 1557874067371
377, 1557874067, 1557874067447
377, 1557874067, 1557874067525
377, 1557874067, 1557874067601
377, 1557874067, 1557874067678
377, 1557874067, 1557874067753
377, 1557874067, 1557874067830
377, 1557874067, 1557874067907
377, 1557874067, 1557874067984
377, 1557874067, 1557874068062
378, 1557874068, 1557874068141
378, 1557874068, 1557874068218
378, 1557874068, 1557874068293
378, 1557874068, 1557874068372
378, 1557874068, 1557874068451
378, 1557874068, 1557874068528
378, 1557874068, 1557874068605
378, 1557874068, 1557874068683
378, 1557874068, 1557874068761
378, 1557874068, 1557874068837
378, 1557874068, 1557874068913
378, 1557874068, 1557874068991
378, 1557874068, 1557874069067
379, 1557874068, 1557874069144
379, 1557874069, 1557874069223
379, 1557874069, 1557874069299
379, 1557874069, 1557874069375
379, 1557874069, 1557874069451
379, 1557874069, 1557874069527
379, 1557874069, 1557874069602
379, 1557874069, 1557874069681
379, 1557874069, 1557874069759
379, 1557874069, 1557874069835
379, 1557874069, 1557874069911
379, 1557874069, 1557874069986
379, 1557874069, 1557874070062
381, 1557874070, 1557874070144
381, 1557874070, 1557874070221
381, 1557874070, 1557874070298
381, 1557874070, 1557874070373
381, 1557874070, 1557874070450
381, 1557874070, 1557874070526
381, 1557874070, 1557874070602
378, 1557874071, 1557874071609
378, 1557874071, 1557874071686
378, 1557874071, 1557874071762
378, 1557874071, 1557874071838
378, 1557874071, 1557874071913
378, 1557874071, 1557874071990
378, 1557874071, 1557874072067
380, 1557874072, 1557874072144
380, 1557874072, 1557874072222
380, 1557874072, 1557874072300
380, 1557874072, 1557874072378
380, 1557874072, 1557874072454
380, 1557874072, 1557874072530
380, 1557874072, 1557874072605
380, 1557874072, 1557874072681
380, 1557874072, 1557874072755
380, 1557874072, 1557874072831
380, 1557874072, 1557874072908
380, 1557874072, 1557874072984
380, 1557874072, 1557874073061
379, 1557874072, 1557874073137
379, 1557874073, 1557874073216
379, 1557874073, 1557874073293
379, 1557874073, 1557874073370
379, 1557874073, 1557874073449
379, 1557874073, 1557874073526
379, 1557874073, 1557874073603
379, 1557874073, 1557874073680
379, 1557874073, 1557874073759
379, 1557874073, 1557874073836
379, 1557874073, 1557874073912
379, 1557874073, 1557874073988
379, 1557874073, 1557874074064
381, 1557874074, 1557874074143
381, 1557874074, 1557874074220
381, 1557874074, 1557874074295
381, 1557874074, 1557874074369
381, 1557874074, 1557874074445
381, 1557874074, 1557874074523
381, 1557874074, 1557874074602
381, 1557874074, 1557874074679
381, 1557874074, 1557874074755
381, 1557874074, 1557874074832
381, 1557874074, 1557874074907
381, 1557874074, 1557874074984
381, 1557874074, 1557874075062
381, 1557874074, 1557874075140
381, 1557874075, 1557874075218
381, 1557874075, 1557874075294
381, 1557874075, 1557874075370
