Power(W), TimePDU(S), TimeNODE(mS)
260, 1557989395, 1557989395078
260, 1557989395, 1557989395152
260, 1557989395, 1557989395227
260, 1557989395, 1557989395303
260, 1557989395, 1557989395381
260, 1557989395, 1557989395457
260, 1557989395, 1557989395535
260, 1557989395, 1557989395614
260, 1557989395, 1557989395690
260, 1557989395, 1557989395761
260, 1557989395, 1557989395838
260, 1557989395, 1557989395912
260, 1557989395, 1557989395983
277, 1557989396, 1557989396056
277, 1557989396, 1557989396132
277, 1557989396, 1557989396206
277, 1557989396, 1557989396324
277, 1557989396, 1557989396401
277, 1557989396, 1557989396477
277, 1557989396, 1557989396551
277, 1557989396, 1557989396624
277, 1557989396, 1557989396696
277, 1557989396, 1557989396769
277, 1557989396, 1557989396843
277, 1557989396, 1557989396918
283, 1557989396, 1557989396992
283, 1557989397, 1557989397066
283, 1557989397, 1557989397140
283, 1557989397, 1557989397214
283, 1557989397, 1557989397290
283, 1557989397, 1557989397364
283, 1557989397, 1557989397439
283, 1557989397, 1557989397511
283, 1557989397, 1557989397587
283, 1557989397, 1557989397662
283, 1557989397, 1557989397736
283, 1557989397, 1557989397811
283, 1557989397, 1557989397886
283, 1557989397, 1557989397960
284, 1557989397, 1557989398032
284, 1557989398, 1557989398108
284, 1557989398, 1557989398182
284, 1557989398, 1557989398257
284, 1557989398, 1557989398330
284, 1557989398, 1557989398404
284, 1557989398, 1557989398478
284, 1557989398, 1557989398552
284, 1557989398, 1557989398628
284, 1557989398, 1557989398703
284, 1557989398, 1557989398778
284, 1557989398, 1557989398852
284, 1557989398, 1557989398928
284, 1557989399, 1557989399003
284, 1557989399, 1557989399077
284, 1557989399, 1557989399152
284, 1557989399, 1557989399228
284, 1557989399, 1557989399305
284, 1557989399, 1557989399380
284, 1557989399, 1557989399453
284, 1557989399, 1557989399529
284, 1557989399, 1557989399605
284, 1557989399, 1557989399681
284, 1557989399, 1557989399756
284, 1557989399, 1557989399830
284, 1557989399, 1557989399901
284, 1557989399, 1557989399974
284, 1557989400, 1557989400087
284, 1557989400, 1557989400212
284, 1557989400, 1557989400337
284, 1557989400, 1557989400411
284, 1557989400, 1557989400481
284, 1557989400, 1557989400551
284, 1557989400, 1557989400622
284, 1557989400, 1557989400694
284, 1557989400, 1557989400765
284, 1557989400, 1557989400836
284, 1557989400, 1557989400906
284, 1557989400, 1557989400978
291, 1557989401, 1557989401052
291, 1557989401, 1557989401124
291, 1557989401, 1557989401197
285, 1557989403, 1557989403227
285, 1557989403, 1557989403306
285, 1557989403, 1557989403383
285, 1557989403, 1557989403458
285, 1557989403, 1557989403533
285, 1557989403, 1557989403606
285, 1557989403, 1557989403682
285, 1557989403, 1557989403756
285, 1557989403, 1557989403830
285, 1557989403, 1557989403904
285, 1557989403, 1557989403980
285, 1557989404, 1557989404055
285, 1557989404, 1557989404127
285, 1557989404, 1557989404198
285, 1557989404, 1557989404271
285, 1557989404, 1557989404347
285, 1557989404, 1557989404422
285, 1557989404, 1557989404497
285, 1557989404, 1557989404572
285, 1557989404, 1557989404645
285, 1557989404, 1557989404720
285, 1557989404, 1557989404795
285, 1557989404, 1557989404874
285, 1557989404, 1557989404953
285, 1557989404, 1557989405028
285, 1557989405, 1557989405104
285, 1557989405, 1557989405177
285, 1557989405, 1557989405252
285, 1557989405, 1557989405326
285, 1557989405, 1557989405399
285, 1557989405, 1557989405474
285, 1557989405, 1557989405545
285, 1557989405, 1557989405618
285, 1557989405, 1557989405690
285, 1557989405, 1557989405762
285, 1557989405, 1557989405835
285, 1557989405, 1557989405908
285, 1557989405, 1557989405981
283, 1557989406, 1557989406055
283, 1557989406, 1557989406127
283, 1557989406, 1557989406203
283, 1557989406, 1557989406278
283, 1557989406, 1557989406352
283, 1557989406, 1557989406425
283, 1557989406, 1557989406496
283, 1557989406, 1557989406570
283, 1557989406, 1557989406643
283, 1557989406, 1557989406720
283, 1557989406, 1557989406793
283, 1557989406, 1557989406866
283, 1557989406, 1557989406941
283, 1557989406, 1557989407014
283, 1557989407, 1557989407092
283, 1557989407, 1557989407166
283, 1557989407, 1557989407238
283, 1557989407, 1557989407311
283, 1557989407, 1557989407384
283, 1557989407, 1557989407459
283, 1557989407, 1557989407533
283, 1557989407, 1557989407607
283, 1557989407, 1557989407682
283, 1557989407, 1557989407755
283, 1557989407, 1557989407829
283, 1557989407, 1557989407902
283, 1557989407, 1557989407975
285, 1557989408, 1557989408053
285, 1557989408, 1557989408129
285, 1557989408, 1557989408201
285, 1557989408, 1557989408276
285, 1557989408, 1557989408350
285, 1557989408, 1557989408424
285, 1557989408, 1557989408497
285, 1557989408, 1557989408571
285, 1557989408, 1557989408645
285, 1557989408, 1557989408718
285, 1557989408, 1557989408792
285, 1557989408, 1557989408867
285, 1557989408, 1557989408940
285, 1557989409, 1557989409016
285, 1557989409, 1557989409091
285, 1557989409, 1557989409164
285, 1557989409, 1557989409237
285, 1557989409, 1557989409310
285, 1557989409, 1557989409384
285, 1557989409, 1557989409457
285, 1557989409, 1557989409532
285, 1557989409, 1557989409609
285, 1557989409, 1557989409682
285, 1557989409, 1557989409756
285, 1557989409, 1557989409832
285, 1557989409, 1557989409905
285, 1557989409, 1557989409979
277, 1557989410, 1557989410054
277, 1557989410, 1557989410129
277, 1557989410, 1557989410202
277, 1557989410, 1557989410276
277, 1557989410, 1557989410352
277, 1557989410, 1557989410427
277, 1557989410, 1557989410501
277, 1557989410, 1557989410574
277, 1557989410, 1557989410646
277, 1557989410, 1557989410722
277, 1557989410, 1557989410795
277, 1557989410, 1557989410869
277, 1557989410, 1557989410942
277, 1557989410, 1557989411014
285, 1557989411, 1557989411094
285, 1557989411, 1557989411170
285, 1557989411, 1557989411246
285, 1557989411, 1557989411320
285, 1557989411, 1557989411393
285, 1557989411, 1557989411465
285, 1557989411, 1557989411540
285, 1557989411, 1557989411615
285, 1557989411, 1557989411689
285, 1557989411, 1557989411763
285, 1557989411, 1557989411838
285, 1557989411, 1557989411912
285, 1557989411, 1557989411986
284, 1557989412, 1557989412060
284, 1557989412, 1557989412134
284, 1557989412, 1557989412208
284, 1557989412, 1557989412281
284, 1557989412, 1557989412354
284, 1557989412, 1557989412427
284, 1557989412, 1557989412501
284, 1557989412, 1557989412574
284, 1557989412, 1557989412648
284, 1557989412, 1557989412721
284, 1557989412, 1557989412795
284, 1557989412, 1557989412868
284, 1557989412, 1557989412944
284, 1557989412, 1557989413021
284, 1557989413, 1557989413097
284, 1557989413, 1557989413170
284, 1557989413, 1557989413245
284, 1557989413, 1557989413321
284, 1557989413, 1557989413396
284, 1557989413, 1557989413471
284, 1557989413, 1557989413546
284, 1557989413, 1557989413621
284, 1557989413, 1557989413696
284, 1557989413, 1557989413770
284, 1557989413, 1557989413844
284, 1557989413, 1557989413919
284, 1557989413, 1557989413993
283, 1557989414, 1557989414070
283, 1557989414, 1557989414143
283, 1557989414, 1557989414219
283, 1557989414, 1557989414294
283, 1557989414, 1557989414368
283, 1557989414, 1557989414441
283, 1557989414, 1557989414515
283, 1557989414, 1557989414589
283, 1557989414, 1557989414662
283, 1557989414, 1557989414735
283, 1557989414, 1557989414810
283, 1557989414, 1557989414885
283, 1557989414, 1557989414960
283, 1557989414, 1557989415036
284, 1557989415, 1557989415113
284, 1557989415, 1557989415186
284, 1557989415, 1557989415259
284, 1557989415, 1557989415333
284, 1557989415, 1557989415406
284, 1557989415, 1557989415481
284, 1557989415, 1557989415555
284, 1557989415, 1557989415630
284, 1557989415, 1557989415704
284, 1557989415, 1557989415775
284, 1557989415, 1557989415847
284, 1557989415, 1557989415919
284, 1557989415, 1557989415992
284, 1557989415, 1557989416065
284, 1557989416, 1557989416141
284, 1557989416, 1557989416215
284, 1557989416, 1557989416288
284, 1557989416, 1557989416360
284, 1557989416, 1557989416432
284, 1557989416, 1557989416505
284, 1557989416, 1557989416579
284, 1557989416, 1557989416654
284, 1557989416, 1557989416727
284, 1557989416, 1557989416799
284, 1557989416, 1557989416873
284, 1557989416, 1557989416948
284, 1557989416, 1557989417022
284, 1557989417, 1557989417097
284, 1557989417, 1557989417170
284, 1557989417, 1557989417244
284, 1557989417, 1557989417320
284, 1557989417, 1557989417395
284, 1557989417, 1557989417468
284, 1557989417, 1557989417542
284, 1557989417, 1557989417617
284, 1557989417, 1557989417692
284, 1557989417, 1557989417766
284, 1557989417, 1557989417841
284, 1557989417, 1557989417916
284, 1557989417, 1557989417993
284, 1557989418, 1557989418068
284, 1557989418, 1557989418141
284, 1557989418, 1557989418217
284, 1557989418, 1557989418292
284, 1557989418, 1557989418367
284, 1557989418, 1557989418442
284, 1557989418, 1557989418516
284, 1557989418, 1557989418591
284, 1557989418, 1557989418669
284, 1557989418, 1557989418744
284, 1557989418, 1557989418819
284, 1557989418, 1557989418894
284, 1557989418, 1557989418973
284, 1557989418, 1557989419051
284, 1557989419, 1557989419126
284, 1557989419, 1557989419201
284, 1557989419, 1557989419275
284, 1557989419, 1557989419348
284, 1557989419, 1557989419424
284, 1557989419, 1557989419500
284, 1557989419, 1557989419574
284, 1557989419, 1557989419650
284, 1557989419, 1557989419725
284, 1557989419, 1557989419798
284, 1557989419, 1557989419874
284, 1557989419, 1557989419951
284, 1557989419, 1557989420027
284, 1557989420, 1557989420102
284, 1557989420, 1557989420176
284, 1557989420, 1557989420249
284, 1557989420, 1557989420324
284, 1557989420, 1557989420399
284, 1557989420, 1557989420472
284, 1557989420, 1557989420546
284, 1557989420, 1557989420620
284, 1557989420, 1557989420694
284, 1557989420, 1557989420767
284, 1557989420, 1557989420842
284, 1557989420, 1557989420915
284, 1557989420, 1557989420989
284, 1557989420, 1557989421063
284, 1557989421, 1557989421137
284, 1557989421, 1557989421211
284, 1557989421, 1557989421286
284, 1557989421, 1557989421363
284, 1557989421, 1557989421437
284, 1557989421, 1557989421513
284, 1557989421, 1557989421588
284, 1557989421, 1557989421663
284, 1557989421, 1557989421736
284, 1557989421, 1557989421811
284, 1557989421, 1557989421885
284, 1557989421, 1557989421962
284, 1557989421, 1557989422036
284, 1557989422, 1557989422112
284, 1557989422, 1557989422186
284, 1557989422, 1557989422262
284, 1557989422, 1557989422336
284, 1557989422, 1557989422408
284, 1557989422, 1557989422482
284, 1557989422, 1557989422557
284, 1557989422, 1557989422630
284, 1557989422, 1557989422703
284, 1557989422, 1557989422777
284, 1557989422, 1557989422853
284, 1557989422, 1557989422928
284, 1557989422, 1557989423003
284, 1557989422, 1557989423084
284, 1557989423, 1557989423158
284, 1557989423, 1557989423235
284, 1557989423, 1557989423310
284, 1557989423, 1557989423384
284, 1557989423, 1557989423457
284, 1557989423, 1557989423529
