Power(W), TimePDU(S), TimeNODE(mS)
258, 1558187648, 1558187648583
258, 1558187648, 1558187648685
258, 1558187648, 1558187648787
258, 1558187648, 1558187648889
258, 1558187648, 1558187648992
258, 1558187648, 1558187649094
304, 1558187649, 1558187649197
304, 1558187649, 1558187649296
304, 1558187649, 1558187649394
304, 1558187649, 1558187649493
304, 1558187649, 1558187649591
304, 1558187649, 1558187649689
304, 1558187649, 1558187649784
304, 1558187649, 1558187649883
304, 1558187649, 1558187649983
304, 1558187649, 1558187650084
362, 1558187650, 1558187650193
362, 1558187650, 1558187650301
362, 1558187650, 1558187650409
362, 1558187650, 1558187650514
362, 1558187650, 1558187650621
362, 1558187650, 1558187650728
362, 1558187650, 1558187650952
362, 1558187650, 1558187651073
371, 1558187651, 1558187651198
371, 1558187651, 1558187651316
371, 1558187651, 1558187651434
371, 1558187651, 1558187651550
371, 1558187651, 1558187651667
371, 1558187651, 1558187651787
371, 1558187651, 1558187651906
371, 1558187651, 1558187652028
372, 1558187651, 1558187652147
372, 1558187652, 1558187652265
372, 1558187652, 1558187652386
372, 1558187652, 1558187652463
372, 1558187652, 1558187652542
372, 1558187652, 1558187652620
372, 1558187652, 1558187652696
372, 1558187652, 1558187652771
372, 1558187652, 1558187652848
372, 1558187652, 1558187652926
372, 1558187652, 1558187653004
372, 1558187652, 1558187653084
372, 1558187653, 1558187653163
372, 1558187653, 1558187653243
372, 1558187653, 1558187653320
372, 1558187653, 1558187653399
372, 1558187653, 1558187653477
372, 1558187653, 1558187653553
372, 1558187653, 1558187653634
372, 1558187653, 1558187653712
372, 1558187653, 1558187653790
372, 1558187653, 1558187653868
372, 1558187653, 1558187653946
372, 1558187653, 1558187654025
373, 1558187653, 1558187654102
373, 1558187654, 1558187654181
373, 1558187654, 1558187654255
373, 1558187654, 1558187654326
373, 1558187654, 1558187654402
373, 1558187654, 1558187654481
373, 1558187654, 1558187654559
373, 1558187654, 1558187654636
373, 1558187654, 1558187654710
373, 1558187654, 1558187654783
373, 1558187654, 1558187654862
373, 1558187654, 1558187654940
373, 1558187654, 1558187655020
372, 1558187655, 1558187655101
372, 1558187655, 1558187655178
372, 1558187655, 1558187655256
372, 1558187655, 1558187655334
372, 1558187655, 1558187655412
372, 1558187655, 1558187655491
372, 1558187655, 1558187655570
372, 1558187655, 1558187655648
372, 1558187655, 1558187655725
372, 1558187655, 1558187655804
374, 1558187655, 1558187656006
374, 1558187656, 1558187656086
374, 1558187656, 1558187656166
374, 1558187656, 1558187656245
374, 1558187656, 1558187656323
374, 1558187656, 1558187656400
374, 1558187656, 1558187656477
374, 1558187656, 1558187656554
