Power(W), TimePDU(S), TimeNODE(mS)
257, 1558499217, 1558499217459
257, 1558499217, 1558499217539
257, 1558499217, 1558499217618
257, 1558499217, 1558499217697
257, 1558499217, 1558499217776
257, 1558499217, 1558499217854
257, 1558499217, 1558499217933
257, 1558499217, 1558499218012
271, 1558499217, 1558499218092
271, 1558499218, 1558499218172
271, 1558499218, 1558499218250
271, 1558499218, 1558499218325
271, 1558499218, 1558499218403
271, 1558499218, 1558499218482
271, 1558499218, 1558499218559
271, 1558499218, 1558499218637
271, 1558499218, 1558499218713
271, 1558499218, 1558499218793
271, 1558499218, 1558499218872
271, 1558499218, 1558499218951
271, 1558499218, 1558499219030
281, 1558499218, 1558499219108
281, 1558499219, 1558499219186
281, 1558499219, 1558499219264
281, 1558499219, 1558499219343
281, 1558499219, 1558499219421
281, 1558499219, 1558499219500
281, 1558499219, 1558499219578
281, 1558499219, 1558499219658
281, 1558499219, 1558499219735
281, 1558499219, 1558499219813
281, 1558499219, 1558499219891
281, 1558499219, 1558499219969
281, 1558499219, 1558499220047
281, 1558499220, 1558499220127
281, 1558499220, 1558499220204
281, 1558499220, 1558499220280
281, 1558499220, 1558499220356
281, 1558499220, 1558499220435
281, 1558499220, 1558499220513
281, 1558499220, 1558499220591
281, 1558499220, 1558499220670
281, 1558499220, 1558499220748
281, 1558499220, 1558499220825
281, 1558499220, 1558499220899
281, 1558499220, 1558499220971
281, 1558499220, 1558499221051
274, 1558499220, 1558499221129
274, 1558499221, 1558499221208
274, 1558499221, 1558499221285
274, 1558499221, 1558499221364
274, 1558499221, 1558499221442
274, 1558499221, 1558499221520
274, 1558499221, 1558499221598
274, 1558499221, 1558499221676
274, 1558499221, 1558499221755
274, 1558499221, 1558499221833
274, 1558499221, 1558499221913
274, 1558499221, 1558499221990
274, 1558499221, 1558499222068
280, 1558499221, 1558499222148
280, 1558499222, 1558499222227
280, 1558499222, 1558499222305
280, 1558499222, 1558499222382
280, 1558499222, 1558499222460
280, 1558499222, 1558499222538
280, 1558499222, 1558499222617
280, 1558499222, 1558499222694
280, 1558499222, 1558499222770
280, 1558499222, 1558499222846
280, 1558499222, 1558499222924
280, 1558499222, 1558499223002
280, 1558499222, 1558499223080
281, 1558499223, 1558499223159
281, 1558499223, 1558499223237
281, 1558499223, 1558499223314
281, 1558499223, 1558499223390
281, 1558499223, 1558499223467
281, 1558499223, 1558499223545
281, 1558499223, 1558499223625
281, 1558499223, 1558499223704
281, 1558499223, 1558499223783
281, 1558499223, 1558499223861
281, 1558499223, 1558499223939
281, 1558499223, 1558499224017
281, 1558499223, 1558499224095
281, 1558499223, 1558499224173
281, 1558499224, 1558499224253
281, 1558499224, 1558499224328
281, 1558499224, 1558499224407
281, 1558499224, 1558499224484
281, 1558499224, 1558499224562
281, 1558499224, 1558499224640
281, 1558499224, 1558499224718
281, 1558499224, 1558499224797
281, 1558499224, 1558499224875
281, 1558499224, 1558499224954
281, 1558499224, 1558499225032
281, 1558499224, 1558499225110
281, 1558499225, 1558499225188
281, 1558499225, 1558499225268
281, 1558499225, 1558499225345
281, 1558499225, 1558499225423
281, 1558499225, 1558499225500
281, 1558499225, 1558499225578
281, 1558499225, 1558499225656
281, 1558499225, 1558499225734
