Power(W), TimePDU(S), TimeNODE(mS)
249, 1558667602, 1558667602450
249, 1558667602, 1558667602555
249, 1558667602, 1558667602664
249, 1558667602, 1558667602770
249, 1558667602, 1558667602875
249, 1558667602, 1558667602984
249, 1558667602, 1558667603099
249, 1558667602, 1558667603210
264, 1558667602, 1558667603317
264, 1558667602, 1558667603443
264, 1558667602, 1558667603560
264, 1558667602, 1558667603676
264, 1558667602, 1558667603793
264, 1558667602, 1558667603909
264, 1558667602, 1558667604026
264, 1558667602, 1558667604143
264, 1558667602, 1558667604262
270, 1558667602, 1558667604382
270, 1558667604, 1558667604504
270, 1558667604, 1558667604624
270, 1558667604, 1558667604745
270, 1558667604, 1558667604865
270, 1558667604, 1558667604988
270, 1558667604, 1558667605109
270, 1558667604, 1558667605228
270, 1558667604, 1558667605348
269, 1558667604, 1558667605467
269, 1558667605, 1558667605587
269, 1558667605, 1558667605705
269, 1558667605, 1558667605824
269, 1558667605, 1558667605944
269, 1558667605, 1558667606062
269, 1558667605, 1558667606178
269, 1558667605, 1558667606296
269, 1558667605, 1558667606413
269, 1558667606, 1558667606536
269, 1558667606, 1558667606656
269, 1558667606, 1558667606777
269, 1558667606, 1558667606895
269, 1558667606, 1558667607012
269, 1558667606, 1558667607131
269, 1558667606, 1558667607250
269, 1558667606, 1558667607365
269, 1558667606, 1558667607478
269, 1558667606, 1558667607591
269, 1558667606, 1558667607706
269, 1558667607, 1558667607821
269, 1558667607, 1558667607934
269, 1558667607, 1558667608050
269, 1558667607, 1558667608164
269, 1558667607, 1558667608282
269, 1558667607, 1558667608395
269, 1558667608, 1558667608512
269, 1558667608, 1558667608631
269, 1558667608, 1558667608748
269, 1558667608, 1558667608865
269, 1558667608, 1558667608986
269, 1558667608, 1558667609104
269, 1558667608, 1558667609223
269, 1558667608, 1558667609345
269, 1558667608, 1558667609464
269, 1558667608, 1558667609539
269, 1558667608, 1558667609615
269, 1558667608, 1558667609694
270, 1558667609, 1558667609772
270, 1558667609, 1558667609849
270, 1558667609, 1558667609925
270, 1558667609, 1558667610002
270, 1558667609, 1558667610078
270, 1558667609, 1558667610154
270, 1558667609, 1558667610231
270, 1558667609, 1558667610306
270, 1558667609, 1558667610381
270, 1558667610, 1558667610457
270, 1558667610, 1558667610531
270, 1558667610, 1558667610608
270, 1558667610, 1558667610685
270, 1558667610, 1558667610761
270, 1558667610, 1558667610839
270, 1558667610, 1558667610916
270, 1558667610, 1558667610992
270, 1558667610, 1558667611068
270, 1558667610, 1558667611143
270, 1558667610, 1558667611216
270, 1558667610, 1558667611288
270, 1558667610, 1558667611365
270, 1558667610, 1558667611441
270, 1558667611, 1558667611518
270, 1558667611, 1558667611592
270, 1558667611, 1558667611667
270, 1558667611, 1558667611742
270, 1558667611, 1558667611818
270, 1558667611, 1558667611894
270, 1558667611, 1558667611971
270, 1558667611, 1558667612047
270, 1558667611, 1558667612124
270, 1558667611, 1558667612201
270, 1558667611, 1558667612279
270, 1558667611, 1558667612356
270, 1558667612, 1558667612436
270, 1558667612, 1558667612515
270, 1558667612, 1558667612591
270, 1558667612, 1558667612672
270, 1558667612, 1558667612746
270, 1558667612, 1558667612820
270, 1558667612, 1558667612898
270, 1558667612, 1558667612975
270, 1558667612, 1558667613049
270, 1558667612, 1558667613126
270, 1558667612, 1558667613201
270, 1558667612, 1558667613278
270, 1558667612, 1558667613356
269, 1558667612, 1558667613434
269, 1558667613, 1558667613512
269, 1558667613, 1558667613589
269, 1558667613, 1558667613665
269, 1558667613, 1558667613741
269, 1558667613, 1558667613815
269, 1558667613, 1558667613893
269, 1558667613, 1558667613969
