Power(W), TimePDU(S), TimeNODE(mS)
268, 1558896001, 1558896001112
268, 1558896001, 1558896001190
268, 1558896001, 1558896001268
268, 1558896001, 1558896001346
268, 1558896001, 1558896001426
268, 1558896001, 1558896001504
268, 1558896001, 1558896001582
268, 1558896001, 1558896001659
268, 1558896001, 1558896001738
268, 1558896001, 1558896001816
268, 1558896001, 1558896001896
268, 1558896001, 1558896001974
268, 1558896001, 1558896002055
268, 1558896001, 1558896002133
268, 1558896001, 1558896002212
363, 1558896001, 1558896002289
363, 1558896002, 1558896002366
363, 1558896002, 1558896002443
363, 1558896002, 1558896002522
363, 1558896002, 1558896002599
363, 1558896002, 1558896002677
363, 1558896002, 1558896002756
363, 1558896002, 1558896002834
363, 1558896002, 1558896002913
371, 1558896002, 1558896002994
371, 1558896003, 1558896003073
371, 1558896003, 1558896003151
371, 1558896003, 1558896003229
371, 1558896003, 1558896003307
371, 1558896003, 1558896003385
371, 1558896003, 1558896003465
371, 1558896003, 1558896003541
371, 1558896003, 1558896003618
371, 1558896003, 1558896003695
371, 1558896003, 1558896003774
371, 1558896003, 1558896003851
371, 1558896003, 1558896003931
374, 1558896003, 1558896004009
374, 1558896004, 1558896004086
374, 1558896004, 1558896004163
374, 1558896004, 1558896004240
374, 1558896004, 1558896004317
374, 1558896004, 1558896004398
374, 1558896004, 1558896004477
374, 1558896004, 1558896004600
374, 1558896004, 1558896004721
374, 1558896004, 1558896004841
374, 1558896004, 1558896004962
379, 1558896004, 1558896005083
379, 1558896005, 1558896005203
379, 1558896005, 1558896005322
379, 1558896005, 1558896005440
379, 1558896005, 1558896005554
379, 1558896005, 1558896005668
379, 1558896005, 1558896005786
379, 1558896005, 1558896005904
368, 1558896005, 1558896006025
368, 1558896006, 1558896006145
368, 1558896006, 1558896006266
368, 1558896006, 1558896006385
368, 1558896006, 1558896006505
368, 1558896006, 1558896006626
368, 1558896006, 1558896006746
368, 1558896006, 1558896006867
368, 1558896006, 1558896006989
370, 1558896006, 1558896007108
370, 1558896007, 1558896007228
370, 1558896007, 1558896007346
370, 1558896007, 1558896007463
370, 1558896007, 1558896007582
370, 1558896007, 1558896007702
370, 1558896007, 1558896007821
370, 1558896007, 1558896007939
371, 1558896007, 1558896008058
371, 1558896008, 1558896008179
