Power(W), TimePDU(S), TimeNODE(mS)
248, 1562140949, 1562140949183
248, 1562140949, 1562140949261
248, 1562140949, 1562140949339
248, 1562140949, 1562140949416
248, 1562140949, 1562140949494
248, 1562140949, 1562140949570
248, 1562140949, 1562140949646
248, 1562140949, 1562140949726
248, 1562140949, 1562140949804
248, 1562140949, 1562140949880
248, 1562140949, 1562140949957
248, 1562140949, 1562140950035
247, 1562140950, 1562140950113
247, 1562140950, 1562140950192
247, 1562140950, 1562140950268
247, 1562140950, 1562140950345
247, 1562140950, 1562140950424
247, 1562140950, 1562140950503
247, 1562140950, 1562140950582
247, 1562140950, 1562140950661
247, 1562140950, 1562140950738
247, 1562140950, 1562140950815
247, 1562140950, 1562140950894
247, 1562140950, 1562140950974
247, 1562140950, 1562140951053
249, 1562140950, 1562140951132
249, 1562140952, 1562140951210
249, 1562140952, 1562140951287
249, 1562140952, 1562140951366
249, 1562140952, 1562140951443
249, 1562140952, 1562140951520
249, 1562140952, 1562140951597
249, 1562140952, 1562140951674
249, 1562140952, 1562140951752
249, 1562140952, 1562140951830
249, 1562140952, 1562140951909
249, 1562140952, 1562140951987
246, 1562140952, 1562140952064
246, 1562140952, 1562140952142
246, 1562140952, 1562140952219
246, 1562140952, 1562140952298
246, 1562140952, 1562140952376
246, 1562140952, 1562140952454
246, 1562140952, 1562140952534
246, 1562140952, 1562140952612
246, 1562140952, 1562140952688
246, 1562140952, 1562140952765
246, 1562140952, 1562140952845
246, 1562140952, 1562140952923
246, 1562140952, 1562140953002
246, 1562140952, 1562140953080
247, 1562140953, 1562140953160
247, 1562140953, 1562140953237
247, 1562140953, 1562140953316
247, 1562140953, 1562140953394
247, 1562140953, 1562140953469
247, 1562140953, 1562140953545
247, 1562140953, 1562140953624
247, 1562140953, 1562140953703
247, 1562140953, 1562140953779
247, 1562140953, 1562140953856
247, 1562140953, 1562140953934
247, 1562140953, 1562140954012
246, 1562140954, 1562140954094
246, 1562140954, 1562140954171
246, 1562140954, 1562140954250
246, 1562140954, 1562140954328
246, 1562140954, 1562140954405
246, 1562140954, 1562140954484
246, 1562140954, 1562140954564
246, 1562140954, 1562140954639
246, 1562140954, 1562140954716
246, 1562140954, 1562140954793
246, 1562140954, 1562140954870
246, 1562140954, 1562140954947
246, 1562140954, 1562140955026
247, 1562140954, 1562140955103
247, 1562140956, 1562140955184
247, 1562140956, 1562140955261
247, 1562140956, 1562140955340
247, 1562140956, 1562140955418
247, 1562140956, 1562140955497
247, 1562140956, 1562140955571
247, 1562140956, 1562140955646
247, 1562140956, 1562140955725
247, 1562140956, 1562140955804
247, 1562140956, 1562140955884
247, 1562140956, 1562140955963
247, 1562140956, 1562140956040
247, 1562140956, 1562140956118
247, 1562140956, 1562140956195
247, 1562140956, 1562140956273
247, 1562140956, 1562140956352
247, 1562140956, 1562140956430
247, 1562140956, 1562140956506
247, 1562140956, 1562140956582
247, 1562140956, 1562140956658
247, 1562140956, 1562140956735
247, 1562140956, 1562140956813
247, 1562140956, 1562140956891
247, 1562140956, 1562140956970
247, 1562140956, 1562140957046
248, 1562140956, 1562140957123
248, 1562140958, 1562140957203
248, 1562140958, 1562140957281
248, 1562140958, 1562140957360
248, 1562140958, 1562140957436
248, 1562140958, 1562140957514
248, 1562140958, 1562140957590
248, 1562140958, 1562140957667
248, 1562140958, 1562140957745
248, 1562140958, 1562140957821
248, 1562140958, 1562140957899
248, 1562140958, 1562140957977
245, 1562140958, 1562140958055
245, 1562140958, 1562140958133
245, 1562140958, 1562140958210
245, 1562140958, 1562140958293
245, 1562140958, 1562140958369
245, 1562140958, 1562140958447
245, 1562140958, 1562140958525
245, 1562140958, 1562140958601
245, 1562140958, 1562140958677
245, 1562140958, 1562140958753
245, 1562140958, 1562140958830
245, 1562140958, 1562140958906
245, 1562140958, 1562140958984
245, 1562140958, 1562140959062
246, 1562140958, 1562140959141
246, 1562140960, 1562140959217
246, 1562140960, 1562140959295
246, 1562140960, 1562140959373
246, 1562140960, 1562140959450
246, 1562140960, 1562140959524
246, 1562140960, 1562140959601
246, 1562140960, 1562140959677
246, 1562140960, 1562140959753
246, 1562140960, 1562140959829
246, 1562140960, 1562140959904
246, 1562140960, 1562140959982
245, 1562140960, 1562140960059
245, 1562140960, 1562140960138
245, 1562140960, 1562140960215
245, 1562140960, 1562140960295
245, 1562140960, 1562140960374
245, 1562140960, 1562140960452
245, 1562140960, 1562140960530
245, 1562140960, 1562140960606
245, 1562140960, 1562140960683
245, 1562140960, 1562140960760
245, 1562140960, 1562140960838
245, 1562140960, 1562140960916
245, 1562140960, 1562140960994
