Power(W), TimePDU(S), TimeNODE(mS)
247, 1562137889, 1562137889647
247, 1562137889, 1562137890150
247, 1562137889, 1562137890229
247, 1562137889, 1562137890308
247, 1562137889, 1562137890382
247, 1562137889, 1562137890460
246, 1562137889, 1562137890537
246, 1562137890, 1562137890618
246, 1562137890, 1562137890697
246, 1562137890, 1562137890773
246, 1562137890, 1562137890853
246, 1562137890, 1562137890930
246, 1562137890, 1562137891004
246, 1562137890, 1562137891083
246, 1562137890, 1562137891162
246, 1562137890, 1562137891240
246, 1562137890, 1562137891319
246, 1562137890, 1562137891396
246, 1562137890, 1562137891475
246, 1562137891, 1562137891555
246, 1562137891, 1562137891634
246, 1562137891, 1562137891709
246, 1562137891, 1562137891785
246, 1562137891, 1562137891864
246, 1562137891, 1562137891942
246, 1562137891, 1562137892021
246, 1562137891, 1562137892097
246, 1562137891, 1562137892176
246, 1562137891, 1562137892254
246, 1562137891, 1562137892332
246, 1562137891, 1562137892410
246, 1562137891, 1562137892488
248, 1562137891, 1562137892567
248, 1562137892, 1562137892646
248, 1562137892, 1562137892723
248, 1562137892, 1562137892802
248, 1562137892, 1562137892881
248, 1562137892, 1562137892961
248, 1562137892, 1562137893039
248, 1562137892, 1562137893118
248, 1562137892, 1562137893196
248, 1562137892, 1562137893275
248, 1562137892, 1562137893354
248, 1562137892, 1562137893429
248, 1562137892, 1562137893509
246, 1562137892, 1562137893588
246, 1562137893, 1562137893668
246, 1562137893, 1562137893747
246, 1562137893, 1562137893824
246, 1562137893, 1562137893903
246, 1562137893, 1562137893981
246, 1562137893, 1562137894059
246, 1562137893, 1562137894135
246, 1562137893, 1562137894212
246, 1562137893, 1562137894291
246, 1562137893, 1562137894369
246, 1562137893, 1562137894447
246, 1562137893, 1562137894526
247, 1562137894, 1562137894605
247, 1562137894, 1562137894685
247, 1562137894, 1562137894765
247, 1562137894, 1562137894844
247, 1562137894, 1562137894922
247, 1562137894, 1562137895001
247, 1562137894, 1562137895080
247, 1562137894, 1562137895158
247, 1562137894, 1562137895236
247, 1562137894, 1562137895315
247, 1562137894, 1562137895394
247, 1562137894, 1562137895473
246, 1562137895, 1562137895551
246, 1562137895, 1562137895628
246, 1562137895, 1562137895705
246, 1562137895, 1562137895784
246, 1562137895, 1562137895863
