Power(W), TimePDU(S), TimeNODE(mS)
247, 1562140588, 1562140589108
247, 1562140588, 1562140589187
247, 1562140588, 1562140589267
247, 1562140588, 1562140589346
256, 1562140588, 1562140589422
256, 1562140589, 1562140589498
256, 1562140589, 1562140589577
256, 1562140589, 1562140589653
256, 1562140589, 1562140589730
256, 1562140589, 1562140589806
256, 1562140589, 1562140589883
256, 1562140589, 1562140589960
256, 1562140589, 1562140590037
256, 1562140589, 1562140590115
256, 1562140589, 1562140590193
256, 1562140589, 1562140590271
256, 1562140589, 1562140590348
272, 1562140589, 1562140590425
272, 1562140590, 1562140590505
272, 1562140590, 1562140590584
272, 1562140590, 1562140590663
272, 1562140590, 1562140590742
272, 1562140590, 1562140590820
272, 1562140590, 1562140590898
272, 1562140590, 1562140590978
272, 1562140590, 1562140591055
272, 1562140590, 1562140591134
272, 1562140590, 1562140591208
272, 1562140590, 1562140591285
272, 1562140590, 1562140591364
273, 1562140591, 1562140591453
273, 1562140591, 1562140591531
273, 1562140591, 1562140591609
273, 1562140591, 1562140591686
273, 1562140591, 1562140591765
273, 1562140591, 1562140591842
273, 1562140591, 1562140591923
273, 1562140591, 1562140592000
273, 1562140591, 1562140592077
273, 1562140591, 1562140592155
273, 1562140591, 1562140592231
273, 1562140591, 1562140592308
273, 1562140591, 1562140592387
273, 1562140591, 1562140592464
273, 1562140592, 1562140592545
273, 1562140592, 1562140592622
273, 1562140592, 1562140592700
273, 1562140592, 1562140592776
273, 1562140592, 1562140592855
273, 1562140592, 1562140592935
273, 1562140592, 1562140593012
273, 1562140592, 1562140593090
273, 1562140592, 1562140593167
273, 1562140592, 1562140593244
273, 1562140592, 1562140593320
273, 1562140592, 1562140593396
273, 1562140592, 1562140593475
273, 1562140593, 1562140593555
273, 1562140593, 1562140593634
273, 1562140593, 1562140593712
273, 1562140593, 1562140593787
273, 1562140593, 1562140593863
273, 1562140593, 1562140593943
273, 1562140593, 1562140594019
273, 1562140593, 1562140594092
273, 1562140593, 1562140594166
273, 1562140593, 1562140594242
273, 1562140593, 1562140594319
273, 1562140593, 1562140594395
273, 1562140593, 1562140594472
273, 1562140594, 1562140594549
273, 1562140594, 1562140594626
273, 1562140594, 1562140594704
273, 1562140594, 1562140594783
273, 1562140594, 1562140594860
273, 1562140594, 1562140594937
273, 1562140594, 1562140595015
273, 1562140594, 1562140595093
273, 1562140594, 1562140595169
273, 1562140594, 1562140595248
273, 1562140594, 1562140595326
273, 1562140594, 1562140595404
273, 1562140594, 1562140595479
273, 1562140595, 1562140595556
273, 1562140595, 1562140595633
273, 1562140595, 1562140595712
273, 1562140595, 1562140595789
273, 1562140595, 1562140595866
273, 1562140595, 1562140595945
273, 1562140595, 1562140596023
273, 1562140595, 1562140596099
273, 1562140595, 1562140596173
273, 1562140595, 1562140596253
273, 1562140595, 1562140596330
273, 1562140595, 1562140596407
273, 1562140596, 1562140596486
273, 1562140596, 1562140596565
273, 1562140596, 1562140596642
273, 1562140596, 1562140596719
273, 1562140596, 1562140596798
273, 1562140596, 1562140596875
273, 1562140596, 1562140596954
273, 1562140596, 1562140597032
273, 1562140596, 1562140597108
273, 1562140596, 1562140597186
273, 1562140596, 1562140597264
273, 1562140596, 1562140597343
273, 1562140596, 1562140597421
273, 1562140597, 1562140597500
273, 1562140597, 1562140597576
273, 1562140597, 1562140597654
273, 1562140597, 1562140597732
273, 1562140597, 1562140597808
273, 1562140597, 1562140597886
273, 1562140597, 1562140597965
273, 1562140597, 1562140598044
273, 1562140597, 1562140598120
273, 1562140597, 1562140598195
273, 1562140597, 1562140598273
273, 1562140597, 1562140598348
274, 1562140597, 1562140598424
274, 1562140598, 1562140598503
274, 1562140598, 1562140598580
274, 1562140598, 1562140598655
274, 1562140598, 1562140598731
274, 1562140598, 1562140598807
274, 1562140598, 1562140598884
274, 1562140598, 1562140598963
274, 1562140598, 1562140599044
274, 1562140598, 1562140599120
274, 1562140598, 1562140599195
274, 1562140598, 1562140599274
274, 1562140598, 1562140599352
274, 1562140598, 1562140599429
274, 1562140599, 1562140599508
274, 1562140599, 1562140599586
274, 1562140599, 1562140599664
274, 1562140599, 1562140599742
274, 1562140599, 1562140599818
274, 1562140599, 1562140599896
274, 1562140599, 1562140599975
274, 1562140599, 1562140600056
274, 1562140599, 1562140600133
274, 1562140599, 1562140600211
274, 1562140599, 1562140600289
274, 1562140599, 1562140600367
274, 1562140599, 1562140600444
274, 1562140600, 1562140600523
274, 1562140600, 1562140600602
274, 1562140600, 1562140600680
274, 1562140600, 1562140600756
274, 1562140600, 1562140600834
274, 1562140600, 1562140600912
274, 1562140600, 1562140600989
274, 1562140600, 1562140601066
274, 1562140600, 1562140601145
274, 1562140600, 1562140601221
274, 1562140600, 1562140601294
274, 1562140600, 1562140601367
272, 1562140601, 1562140601439
272, 1562140601, 1562140601514
