Power(W), TimePDU(S), TimeNODE(mS)
251, 1562138985, 1562138985693
251, 1562138985, 1562138985772
251, 1562138985, 1562138985849
251, 1562138985, 1562138985927
251, 1562138985, 1562138986004
251, 1562138985, 1562138986083
251, 1562138985, 1562138986161
251, 1562138985, 1562138986236
251, 1562138985, 1562138986312
251, 1562138985, 1562138986390
251, 1562138985, 1562138986469
251, 1562138985, 1562138986548
269, 1562138987, 1562138986626
269, 1562138987, 1562138986704
269, 1562138987, 1562138986783
269, 1562138987, 1562138986860
269, 1562138987, 1562138986937
269, 1562138987, 1562138987013
269, 1562138987, 1562138987091
269, 1562138987, 1562138987170
269, 1562138987, 1562138987248
269, 1562138987, 1562138987326
269, 1562138987, 1562138987404
269, 1562138987, 1562138987481
275, 1562138987, 1562138987563
275, 1562138988, 1562138987641
275, 1562138988, 1562138987719
275, 1562138988, 1562138987796
275, 1562138988, 1562138987874
275, 1562138988, 1562138987953
275, 1562138988, 1562138988032
275, 1562138988, 1562138988108
275, 1562138988, 1562138988184
275, 1562138988, 1562138988259
275, 1562138988, 1562138988335
275, 1562138988, 1562138988413
275, 1562138988, 1562138988492
274, 1562138988, 1562138988570
274, 1562138989, 1562138988648
274, 1562138989, 1562138988726
274, 1562138989, 1562138988803
274, 1562138989, 1562138988883
274, 1562138989, 1562138988961
274, 1562138989, 1562138989040
274, 1562138989, 1562138989118
274, 1562138989, 1562138989197
274, 1562138989, 1562138989276
274, 1562138989, 1562138989354
274, 1562138989, 1562138989433
274, 1562138989, 1562138989509
273, 1562138989, 1562138989587
273, 1562138989, 1562138989663
273, 1562138989, 1562138989742
273, 1562138989, 1562138989819
273, 1562138989, 1562138989897
273, 1562138989, 1562138989975
273, 1562138989, 1562138990053
273, 1562138989, 1562138990131
273, 1562138989, 1562138990207
273, 1562138989, 1562138990284
273, 1562138989, 1562138990361
273, 1562138989, 1562138990439
273, 1562138989, 1562138990517
274, 1562138989, 1562138990595
274, 1562138991, 1562138990674
274, 1562138991, 1562138990754
274, 1562138991, 1562138990831
274, 1562138991, 1562138990907
274, 1562138991, 1562138990981
274, 1562138991, 1562138991057
274, 1562138991, 1562138991136
274, 1562138991, 1562138991212
274, 1562138991, 1562138991290
274, 1562138991, 1562138991367
274, 1562138991, 1562138991444
274, 1562138991, 1562138991521
274, 1562138991, 1562138991597
274, 1562138991, 1562138991675
274, 1562138991, 1562138991753
274, 1562138991, 1562138991829
274, 1562138992, 1562138991907
274, 1562138992, 1562138991985
274, 1562138992, 1562138992061
274, 1562138992, 1562138992138
274, 1562138992, 1562138992215
274, 1562138992, 1562138992293
274, 1562138992, 1562138992369
274, 1562138992, 1562138992446
274, 1562138992, 1562138992524
274, 1562138992, 1562138992604
274, 1562138993, 1562138992683
274, 1562138993, 1562138992762
274, 1562138993, 1562138992838
274, 1562138993, 1562138992915
274, 1562138993, 1562138992991
274, 1562138993, 1562138993066
274, 1562138993, 1562138993142
274, 1562138993, 1562138993219
274, 1562138993, 1562138993296
274, 1562138993, 1562138993373
274, 1562138993, 1562138993451
274, 1562138993, 1562138993528
275, 1562138993, 1562138993605
275, 1562138994, 1562138993685
275, 1562138994, 1562138993763
275, 1562138994, 1562138993843
275, 1562138994, 1562138993919
275, 1562138994, 1562138993996
275, 1562138994, 1562138994073
275, 1562138994, 1562138994150
275, 1562138994, 1562138994226
275, 1562138994, 1562138994304
275, 1562138994, 1562138994381
275, 1562138994, 1562138994458
275, 1562138994, 1562138994535
274, 1562138994, 1562138994611
274, 1562138995, 1562138994687
274, 1562138995, 1562138994763
274, 1562138995, 1562138994839
274, 1562138995, 1562138994917
274, 1562138995, 1562138994994
274, 1562138995, 1562138995071
274, 1562138995, 1562138995148
274, 1562138995, 1562138995226
274, 1562138995, 1562138995304
274, 1562138995, 1562138995382
274, 1562138995, 1562138995459
274, 1562138995, 1562138995537
274, 1562138995, 1562138995613
274, 1562138996, 1562138995689
274, 1562138996, 1562138995765
274, 1562138996, 1562138995843
274, 1562138996, 1562138995919
274, 1562138996, 1562138995996
274, 1562138996, 1562138996074
274, 1562138996, 1562138996154
274, 1562138996, 1562138996232
274, 1562138996, 1562138996311
274, 1562138996, 1562138996388
274, 1562138996, 1562138996465
274, 1562138996, 1562138996542
274, 1562138997, 1562138996623
274, 1562138997, 1562138996700
274, 1562138997, 1562138996780
