Power(W), TimePDU(S), TimeNODE(mS)
247, 1562139631, 1562139632592
247, 1562139631, 1562139632663
247, 1562139631, 1562139632734
252, 1562139633, 1562139632811
252, 1562139633, 1562139632888
252, 1562139633, 1562139632965
252, 1562139633, 1562139633043
252, 1562139633, 1562139633118
252, 1562139633, 1562139633196
252, 1562139633, 1562139633274
252, 1562139633, 1562139633350
252, 1562139633, 1562139633428
252, 1562139633, 1562139633506
252, 1562139633, 1562139633582
252, 1562139633, 1562139633658
270, 1562139633, 1562139633735
270, 1562139634, 1562139633813
270, 1562139634, 1562139633889
270, 1562139634, 1562139633964
270, 1562139634, 1562139634042
270, 1562139634, 1562139634120
270, 1562139634, 1562139634198
270, 1562139634, 1562139634274
270, 1562139634, 1562139634352
270, 1562139634, 1562139634430
270, 1562139634, 1562139634508
270, 1562139634, 1562139634586
270, 1562139634, 1562139634662
274, 1562139634, 1562139634739
274, 1562139635, 1562139634816
274, 1562139635, 1562139634894
274, 1562139635, 1562139634972
274, 1562139635, 1562139635049
274, 1562139635, 1562139635125
274, 1562139635, 1562139635202
274, 1562139635, 1562139635279
274, 1562139635, 1562139635357
274, 1562139635, 1562139635435
274, 1562139635, 1562139635511
274, 1562139635, 1562139635589
274, 1562139635, 1562139635667
274, 1562139635, 1562139635745
274, 1562139635, 1562139635821
274, 1562139635, 1562139635898
274, 1562139635, 1562139635974
274, 1562139635, 1562139636050
274, 1562139635, 1562139636126
274, 1562139635, 1562139636204
274, 1562139635, 1562139636283
274, 1562139635, 1562139636358
274, 1562139635, 1562139636434
274, 1562139635, 1562139636512
274, 1562139635, 1562139636590
274, 1562139635, 1562139636669
274, 1562139635, 1562139636746
274, 1562139637, 1562139636825
274, 1562139637, 1562139636903
274, 1562139637, 1562139636983
274, 1562139637, 1562139637059
274, 1562139637, 1562139637136
274, 1562139637, 1562139637211
274, 1562139637, 1562139637287
274, 1562139637, 1562139637361
274, 1562139637, 1562139637432
274, 1562139637, 1562139637505
274, 1562139637, 1562139637582
274, 1562139637, 1562139637659
274, 1562139637, 1562139637737
274, 1562139638, 1562139637815
274, 1562139638, 1562139637891
274, 1562139638, 1562139637969
274, 1562139638, 1562139638046
274, 1562139638, 1562139638124
274, 1562139638, 1562139638202
274, 1562139638, 1562139638280
274, 1562139638, 1562139638357
274, 1562139638, 1562139638434
274, 1562139638, 1562139638513
274, 1562139638, 1562139638590
274, 1562139638, 1562139638667
273, 1562139638, 1562139638744
273, 1562139639, 1562139638822
273, 1562139639, 1562139638900
273, 1562139639, 1562139638978
273, 1562139639, 1562139639056
273, 1562139639, 1562139639134
273, 1562139639, 1562139639211
273, 1562139639, 1562139639286
273, 1562139639, 1562139639361
273, 1562139639, 1562139639436
273, 1562139639, 1562139639512
273, 1562139639, 1562139639588
273, 1562139639, 1562139639665
274, 1562139639, 1562139639741
274, 1562139640, 1562139639819
274, 1562139640, 1562139639896
274, 1562139640, 1562139639973
274, 1562139640, 1562139640052
274, 1562139640, 1562139640128
274, 1562139640, 1562139640206
274, 1562139640, 1562139640282
274, 1562139640, 1562139640358
274, 1562139640, 1562139640434
274, 1562139640, 1562139640511
274, 1562139640, 1562139640589
274, 1562139640, 1562139640667
274, 1562139640, 1562139640743
274, 1562139640, 1562139640820
274, 1562139640, 1562139640897
274, 1562139640, 1562139640975
274, 1562139640, 1562139641053
274, 1562139640, 1562139641129
274, 1562139640, 1562139641204
274, 1562139640, 1562139641283
274, 1562139640, 1562139641362
274, 1562139640, 1562139641438
274, 1562139640, 1562139641515
274, 1562139640, 1562139641590
274, 1562139640, 1562139641668
273, 1562139640, 1562139641744
273, 1562139642, 1562139641823
273, 1562139642, 1562139641899
273, 1562139642, 1562139641977
273, 1562139642, 1562139642052
273, 1562139642, 1562139642130
273, 1562139642, 1562139642205
273, 1562139642, 1562139642284
273, 1562139642, 1562139642362
273, 1562139642, 1562139642439
273, 1562139642, 1562139642514
273, 1562139642, 1562139642587
273, 1562139642, 1562139642658
273, 1562139642, 1562139642729
273, 1562139643, 1562139642802
273, 1562139643, 1562139642878
273, 1562139643, 1562139642955
273, 1562139643, 1562139643032
273, 1562139643, 1562139643109
273, 1562139643, 1562139643186
273, 1562139643, 1562139643264
273, 1562139643, 1562139643343
273, 1562139643, 1562139643417
273, 1562139643, 1562139643495
273, 1562139643, 1562139643573
273, 1562139643, 1562139643650
273, 1562139643, 1562139643726
274, 1562139644, 1562139643803
274, 1562139644, 1562139643883
274, 1562139644, 1562139643958
