Power(W), TimePDU(S), TimeNODE(mS)
247, 1562138907, 1562138907987
247, 1562138907, 1562138908067
247, 1562138907, 1562138908144
247, 1562138907, 1562138908220
247, 1562138907, 1562138908296
247, 1562138907, 1562138908375
258, 1562138908, 1562138908456
258, 1562138908, 1562138908535
258, 1562138908, 1562138908613
258, 1562138908, 1562138908692
258, 1562138908, 1562138908767
258, 1562138908, 1562138908843
258, 1562138908, 1562138908923
258, 1562138908, 1562138908995
258, 1562138908, 1562138909072
258, 1562138908, 1562138909151
258, 1562138908, 1562138909229
258, 1562138908, 1562138909305
273, 1562138908, 1562138909382
273, 1562138909, 1562138909460
273, 1562138909, 1562138909536
273, 1562138909, 1562138909612
273, 1562138909, 1562138909690
273, 1562138909, 1562138909765
273, 1562138909, 1562138909843
273, 1562138909, 1562138909922
273, 1562138909, 1562138910000
273, 1562138909, 1562138910077
273, 1562138909, 1562138910155
273, 1562138909, 1562138910235
273, 1562138909, 1562138910313
273, 1562138909, 1562138910393
273, 1562138910, 1562138910471
273, 1562138910, 1562138910549
273, 1562138910, 1562138910627
273, 1562138910, 1562138910705
273, 1562138910, 1562138910780
273, 1562138910, 1562138910856
273, 1562138910, 1562138910934
273, 1562138910, 1562138911013
273, 1562138910, 1562138911090
273, 1562138910, 1562138911169
273, 1562138910, 1562138911247
273, 1562138910, 1562138911325
273, 1562138910, 1562138911403
273, 1562138911, 1562138911481
273, 1562138911, 1562138911558
273, 1562138911, 1562138911634
273, 1562138911, 1562138911713
273, 1562138911, 1562138911792
273, 1562138911, 1562138911869
273, 1562138911, 1562138911946
273, 1562138911, 1562138912025
273, 1562138911, 1562138912102
273, 1562138911, 1562138912179
273, 1562138911, 1562138912255
273, 1562138911, 1562138912335
273, 1562138911, 1562138912413
273, 1562138912, 1562138912490
273, 1562138912, 1562138912568
273, 1562138912, 1562138912644
273, 1562138912, 1562138912724
273, 1562138912, 1562138912803
273, 1562138912, 1562138912879
273, 1562138912, 1562138912957
273, 1562138912, 1562138913036
273, 1562138912, 1562138913113
273, 1562138912, 1562138913189
273, 1562138912, 1562138913262
273, 1562138912, 1562138913333
274, 1562138913, 1562138913410
274, 1562138913, 1562138913485
274, 1562138913, 1562138913563
274, 1562138913, 1562138913639
274, 1562138913, 1562138913716
274, 1562138913, 1562138913793
274, 1562138913, 1562138913871
274, 1562138913, 1562138913948
274, 1562138913, 1562138914025
274, 1562138913, 1562138914105
274, 1562138913, 1562138914182
274, 1562138913, 1562138914258
274, 1562138913, 1562138914336
274, 1562138913, 1562138914415
274, 1562138914, 1562138914494
274, 1562138914, 1562138914574
274, 1562138914, 1562138914652
274, 1562138914, 1562138914729
